Year,Cumulative_Adoption_Percent,Phase,Description
2009,0.0001,Innovators,Satoshi and earliest cypherpunks
2010,0.001,Innovators,Tech enthusiasts and cryptographers
2011,0.01,Innovators,Early miners and libertarians
2012,0.05,Innovators,First exchanges and services
2013,0.5,Early_Adopters,Mt. Gox era and first bull run
2014,1.0,Early_Adopters,Infrastructure development
2017,2.5,Early_Adopters,ICO boom and retail FOMO
2020,3.5,Early_Adopters_to_Early_Majority,Institutional interest begins
2021,4.2,Early_Majority,El Salvador adoption
2022,4.5,Early_Majority,Bear market consolidation
2023,5.0,Early_Majority,ETF applications and maturation
2024,5.8,Early_Majority,Spot ETF approvals
2027,15.0,Early_Majority,Projected continued growth
2030,34.0,Early_Majority_to_Late_Majority,Mainstream adoption threshold
2035,52.0,Late_Majority,Majority of population exposure
2040,68.0,Late_Majority,Mature asset class
2045,84.0,Laggards,Late adopters
2050,100.0,Complete,Full saturation
